# date	daynum	cases	tests	deaths	hosp'd hosptialized-includes-confirmed-and-unconfirmed-and-icu  ltcf	 icu	ltcf-deaths
20200311 1	92
20200312 2	95
20200313 3	123
20200314 4	138
20200315 5	164	nan	nan	nan	nan nan "No tests counts reported before 3/17"
20200316 6	197	1296	0	14
20200317 7	218	1751	0	21
20200318 8	256	2477	0	27	nan nan "Tests has some error in it since they didn't properly report it."
20200319 9	328	3831	0	43	nan nan "See note above about tests"
20200320 10	413	5031	1	58	nan nan "See note above about tests"
20200321 11	525	6607	1	61	nan nan "See note above about tests"
20200322 12	646	7116	5	71	nan nan "See note above about tests"
20200323 13	777	8922	9	79
20200324 14	1159	13749	11	94
20200325 15	1838	19794	15	103
20200326 16	2417	23621	25	219
20200327 17	3240	29371	35	288
20200328 18	4257	35049	44	350
20200329 19	4955	39066	48	399
20200330 20	5752	42793	56	453
20200331 21	6620	46935	89	562
20200401 22	7738	51738	122	682
20200402 23	8966	56608	154	813	NaN	197
20200403 24	10402	62962	192	966	NaN	382
20200404 25	11736	68800	216	1068	NaN	480
20200405 26	12500	71937	231	1145	NaN	551
20200406 27	13837	76429	260	1241	NaN	835
20200407 28	15202	81344	356	1435	NaN	958
20200408 29	16790	87511	433	1583	NaN	1583
20200409 30	18941	94958	503	1747	NaN	1633
20200410 31	20974	102372	599	1956	NaN	2124	NaN	247
20200411 32	22860	108776	686	2120	NaN	2645	NaN	306
20200412 33	25475	116730	756	2235	NaN	3050	NaN	340
20200413 34	26867	122049	844	2340	NaN	3446	NaN	378
20200414 35	28163	126551	957	NaN	NaN	3907	NaN	444
20200415 36	29918	132023	1108	NaN	3615	4163	NaN	530
20200416 37	32181	140773	1245	NaN	3635	4798	NaN	610
20200417 38	34402	148744	1404	NaN	3729	5142	NaN	702
20200418 39	36372	156806	1560	NaN	3766	5790	NaN	810
20200419 40	38077	162241	1706	NaN	3750	6121	NaN	884
20200420 41	39643	169398	1809	NaN	3804	6582	1017 	971 // LTCF cases and deaths interpolated
20200421 42	41199	175372	1961	NaN	3872	7044 	1040 	1059
20200422 43	42944	180462	2182	NaN	3977    7721	1050	1205
20200423 44	46023	195076	2360	NaN	3890	8435	1034	1316
20200424 45	50969	215213	2556	NaN	3851	9184	1048	1429 // Backlog of 10,000 results dating back to April 13.  I didn't update previous graph points.  The state did.
20200425 46	53348	225845	2730	NaN	3847	9714 	1058 	1530
20200426 47	54938	236100	2899	NaN	3879	10031	1077	1632
20200427 48	56462	244887	3003	NaN	3892	10635	1089	1698
20200428 49	58302	254500	3153	NaN	3875	11022   1005	1810
20200429 50	60265	265618	3405	NaN	3856    11701   1011    1982  // hosps down, lots of ltcf cases and deaths
20200430 51	62205	275647	3562	NaN	3803	12127	1001	2101
20200501 52	64311	289636	3716	NaN	3716	12557	947	2189
20200502 53	66263	298994	3846	NaN	3601	12574	921	2284
20200503 54	68087	314646	4004	NaN     3617	13447	904	2367
20200504 55	69087	324268	4090	NaN	3539	13708	908	2428
20200505 56	70271	333349	4212	NaN	3542	14383	914	2520
20200506 57	72025	339639	4420	NaN	3564	14680	922	2653
20200507 58	73712	351632	4552	NaN	3496	15228	852	2739
20200508 59	75333	366023	4702	NaN	3436	15560	826	2837
20200509 60	76743	376537	4840	NaN	3229	15965	814	2922
20200510 61	77793	388389	4979	NaN	3128	16224	810	3001
20200511 62	78462	394728	5108	NaN	3102	16420	813	3071
20200512 63	79332	401496	5141	NaN	3127	16788	818	3095
20200513 64	80497	410032	5315	NaN	3101	17076	794	3236
20200514 65	82182	424361	5482	NaN	2859	17477	781	3338
20200515 66	83421	435679	5592	NaN	2767	17744	749	3414
20200516 67	84933	448087	5705	NaN	2692 	17989	747	3487
20200517 68	86010	460826	5797	NaN	2597	18165	702	3534
20200518 69	87052	469199	5862	NaN	2533	18257	674	3574
20200519 70	87925	476940	5938	NaN	2472	18510	672	3617
20200520 71	88970	489953	6066	NaN	2518	18801	675	3701
20200521 72	90084	501486	6148	NaN	2396	19106	647	3755
20200522 73	90889	511644	6228	NaN	2323	19305	628	3807
20200523 74	91662	520986	6304	NaN	2237	19506	610	3853
20200524 75	92675	532373	6372	NaN	2169	19602	558	3890
20200525 76	93271	540561	6416	NaN	2132	19742	576	3924
20200526 77	93693	545481	6473	NaN	2108	19919	560	3963
20200527 78	94220	552144	6547	NaN	2106	20267	556	4041
20200528 79	94895	562323	6640	NaN	2112	20607	529	4123
20200529 80	95512	571745	6718	NaN	1991	20828	485	4180
20200530 81	96301	582519	6768	NaN	1904	20988	453	4217
20200531 82	96965	592843	6846	NaN	1824	21127	436	4257
20200601 83	97291	599919	6894	NaN	1747	21413	404	4349
20200602 84	97539	605771	6944	NaN	1657	21608	394	4382
20200603 85	97964	614133	7012	NaN	1684	21785	393	4447
20200604 86	98376	621248	7062	NaN	1637	21892	401	4479
20200605 87	98796	631008	7097	NaN	1533	21949	350	4504
20200606 88	99301	640808	7152	NaN	1529	22058	359	4537
20200607 89	99562	648616	7179	NaN	1442    22191	335	4574
20200608 90	99755	653398	7217	NaN	1415	22295	322	4597
20200609 91	99955	658058	7255	NaN	1397	22479	315	4630
20200610 92	100158	668092	7300	NaN	1345	22526	319	4671
20200611 93	100504	678925	7337	NaN	1260	22561	296	4705
20200612 94	100811	689111	7382	NaN	1143	22659	276	4736
20200613 95	101070	699271	7420	NaN	1069	22706	249	4768
20200614 96	101276	708383	7467	NaN	1039	22711	244	4803
20200615 97	101334	712875	7490	NaN	1026	22795	253	4817
20200616 98	101474	719236	7508	NaN	1045	22839	244	4834
20200617 99	101654	727549	7568	NaN	998	22932	227	4875
20200618 100	101853	736691	7591	NaN	968	23013	227	4899
20200619 101	102005	746162	7619	NaN	994	23052	199	4920
20200620 102	102228	760229	7647	NaN	964	23071	200	4929
20200621 103	102333	768592	7677	NaN	927	23089	194	4944
20200622 104	102469	775322	7694	NaN	920	23104	180	4956
20200623 105	102651	782854	7710	NaN	953	23237	181	4970
20200624 106	102762	790223	7752	NaN	939	23297	181	5007
20200625 107	102922	800541	7776	NaN	822	23321	174	5023
20200626 108	103071	809086	7815	NaN	791	23362	156	5051
20200627 109	103376	821275	7841	NaN	769	23389	143	5073
20200628 110	103539	830666	7860	NaN	748	23399	134	5086
#20200629 111	103628	837147	7895	NaN	762	23409	138	5111
